;Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs Filter Size;Batche Size;Prediction Window;Prediction Window
2;36;41.45609905;3332.171175;52.55435088;10.94987977;7.790742641;42.10639189;3011.638517;53.11710028;12.59814318;1.068280283;5;0.2;300;70;80;70;10
3;0;64.58880469;8754.166181;75.39789189;15.84735704;12.60080183;23.40876762;1036.881636;31.53159047;7.034829742;2.080413155;20;0.7;70;170;100;30;30
0;40;40.41135285;2718.47351;48.44200313;10.27706754;7.798403976;39.98827023;3089.411643;52.62281922;11.0815352;4.326943131;3;0.5;50;85;15;10;1
1;12;40.47470742;3188.454071;50.76308685;10.68943644;0.528125123;38.53308609;2747.207387;51.82390672;11.90848551;-1.084920623;1;0.1;30;85;70;20;5
2;65;43.03630793;3694.60154;54.06680545;10.96419372;6.558661365;36.15134723;2494.915068;48.80128464;10.72276451;2.494676569;4;0.7;40;300;8;10;10
3;93;63.47449029;8361.313681;72.6323369;15.89473498;11.52074108;30.65417647;1684.691691;40.62219515;9.580873161;0.348276666;15;0.1;60;120;90;20;30
0;10;40.23879409;3145.441675;50.92542942;10.29663894;7.022673939;23.00068771;962.5098345;30.47876282;7.156903698;0.335144153;20;0.1;100;150;50;30;1
1;70;40.8880648;3056.748914;51.53188427;10.89675963;8.316651138;44.47125737;3660.028233;58.54293974;12.75299696;7.668519165;1;0.7;200;200;20;40;5
2;4;38.80218256;2742.57536;48.9761542;10.99728159;3.662977309;41.48863189;2988.830018;53.43337969;12.43872583;1.572067319;5;0.2;30;50;5;70;10
3;42;63.52909261;8447.18993;73.14299896;15.95052276;13.38393761;39.97093126;2784.683081;52.26267283;12.1305994;1.448839292;2;0.4;90;170;8;30;30
0;31;39.97727791;2964.035513;51.12563693;10.38801565;6.551431371;25.8215215;1576.079061;37.08504265;7.738045896;-2.005968945;40;0.3;30;50;20;40;1
1;26;43.38558424;3499.074165;54.03621748;11.17870704;8.41940252;40.293479;3008.267214;52.96434463;11.50218423;5.229457323;1;0.3;60;100;6;80;5
2;97;40.17747233;3097.863135;51.11933833;11.00301687;-0.095625049;41.16061078;3008.110569;54.35789059;12.5266757;0.082785322;4;0.1;70;150;40;50;10
3;47;64.47483038;8621.790184;77.35745375;16.0454318;15.10546554;6.924007277;84.19870872;9.07439221;2.283087118;0.062901133;30;0.4;100;1000;25;30;30
0;47;40.87663431;3432.748611;53.55384966;10.39433995;9.840999849;6.337246799;79.498632;8.619279868;1.99111221;0.419318493;30;0.4;100;1000;25;30;1
1;68;42.77713947;3568.230032;55.63481882;11.5180572;3.816183914;41.70288819;2967.211338;53.98960435;12.71654726;0.405733583;2;0.6;400;700;6;10;5
2;99;41.70740434;3522.829392;53.77183375;11.0698097;-1.385860848;40.01494832;2815.741279;52.40994879;12.15704074;1.096928128;3;0.2;30;500;100;30;10
3;55;64.11970422;8368.570451;76.25604337;16.1864413;13.50270049;30.10550774;1632.368154;39.99337363;9.405857699;1.048845321;15;0.3;60;200;8;50;30
0;90;40.18116005;2844.798877;50.98673842;10.40048504;9.24579172;43.59486295;3850.699042;59.25451243;12.17232041;6.969546933;2;0.7;40;500;25;60;1
1;69;40.63239426;3035.313443;52.16731548;11.61389625;2.165300296;39.78555536;2699.678633;51.32893997;12.33578399;0.0398667;5;0.2;100;300;35;100;5
2;48;42.80267727;3407.316909;53.23443174;11.06993538;7.225817335;40.75454119;2923.354116;53.42951133;12.11582596;3.388062793;5;0.2;90;50;25;50;10
3;39;66.87599189;8229.003943;74.18138587;16.229906;13.67619659;40.47146289;2881.184081;52.53076135;12.17600707;2.329427251;1;0.1;20;150;8;100;30
0;43;40.50768787;2637.756721;48.45537219;10.44704548;6.391017878;30.67794267;1581.769207;39.2093202;9.261564931;2.393905247;15;0.1;70;50;40;60;1
1;4;45.00799722;3436.94934;53.68096232;11.6219577;7.702880653;39.36067619;2545.686959;48.80186671;12.29506057;-0.35587909;5;0.2;30;50;5;70;5
2;47;46.28059406;4769.765148;60.46464881;11.29220493;9.812690474;7.484119762;127.2896547;10.48389435;2.211845734;-0.18748343;30;0.4;100;1000;25;30;10
3;69;62.02600983;8519.961641;71.83625103;16.24161084;8.642381572;37.80831036;2449.206706;49.07172707;11.83746516;0.342031097;5;0.2;100;300;35;100;30
0;35;39.89977743;3093.723242;52.91112864;10.45118634;3.347328069;38.8900135;2627.578729;50.98471164;11.80050895;1.581144137;3;0.7;100;1000;70;40;1
1;78;45.29073559;4025.819289;56.11636004;11.65282693;3.94271037;32.00454472;1819.178357;41.4874938;10.31319228;-3.689280995;3;0.3;300;20;25;70;5
2;14;41.11455938;3801.425218;53.31568591;11.36890243;5.207995968;41.35059111;2907.385857;53.34030111;12.72313208;0.02252871;5;0.2;100;200;80;100;10
3;60;65.46292057;8342.173023;75.80301697;16.4560965;9.894691457;23.59095503;1028.173853;31.87883842;7.475437203;1.333897906;20;0.2;200;120;50;20;30
0;94;40.76830291;3281.825341;52.14426362;10.51595351;3.906130159;34.35964632;2374.956037;45.93426658;10.56275688;-3.111996916;15;0.3;80;1000;5;30;1
1;37;46.20896802;4035.126866;55.79138115;11.8953355;10.23143733;43.24348784;3851.216789;58.91456345;12.00032867;6.409964476;5;0.7;40;120;100;20;5
2;10;45.10556332;4117.498545;56.03203492;11.37520951;4.871557428;26.99539075;1401.474232;36.92040684;8.489410723;-1.66979392;20;0.1;100;150;50;30;10
3;27;66.92331917;8092.144913;77.28054023;16.45918488;13.18349912;30.13368189;1616.79384;40.07918763;9.342442252;1.847400009;15;0.2;90;100;25;100;30
0;15;41.81739032;3475.151404;53.6519975;10.68165021;6.765463882;24.09915144;1055.399019;32.0318789;7.486104898;2.456180666;20;0.4;300;200;90;20;1
1;97;44.87533787;3967.203422;59.00512307;11.96120391;2.403895063;38.96215979;2519.86057;49.8100489;12.05305772;0.629014754;4;0.1;70;150;40;50;5
