Hyper_id;MAE_test;MSE_test;RMSE_test;MAPE_test;MPE_test;MAE_train;MSE_train;RMSE_train;MAPE_train;MPE_train;Window;Dropout Rate;Number of Neurons (each layer);Number of Epochs Filter Size;Batche Size;Prediction Window;
63;35.51436147;3228.947433;56.82382804;6.562521909;4.001213911;39.49155445;2556.994631;50.56673443;13.67255212;-5.982975885;2;0.1;100;30;90;90;10
63;59.66471863;5484.010792;74.05410719;11.65136852;11.34307262;36.81952608;2172.739837;46.61265748;12.36130538;-5.149108101;2;0.1;100;30;90;90;30
63;76.99943197;6650.980736;81.55354521;18.45612472;14.74257462;38.01031011;2202.959949;46.93570015;12.56418425;-3.303198239;2;0.1;100;30;90;90;1
63;117.4017824;14422.35217;120.0930979;28.07832309;28.07832309;47.83985193;3697.000334;60.8029632;15.37525852;9.127724375;2;0.1;100;30;90;90;5
63;54.40808685;3414.029012;58.42969289;12.97574285;12.62263721;41.70335975;2937.254406;54.19644274;13.48329071;8.234566651;2;0.1;100;30;90;90;10
63;79.70194824;6750.135033;82.15920541;19.08762921;19.08762921;50.45917857;3988.599957;63.15536364;16.70439642;0.712360088;2;0.1;100;30;90;90;30
63;73.75863068;5832.605315;76.37149543;17.76861303;-17.76861303;42.38463804;3060.689205;55.32349596;13.07544223;4.412224362;2;0.1;100;30;90;90;1
63;119.7859281;15615.65035;124.9625958;28.84247221;-28.84247221;47.16207884;3572.117956;59.76719799;15.00229121;0.760146489;2;0.1;100;30;90;90;5
63;53.7932432;4427.980571;66.54307305;13.20755294;-8.004190891;42.71929204;3118.313671;55.84186307;13.79400696;1.617062718;2;0.1;100;30;90;90;10
63;198.2538436;42083.00053;205.1414159;47.10383709;47.10341957;45.2699825;3259.066076;57.08823063;16.01866734;-5.365173325;2;0.1;100;30;90;90;30
63;76.42582911;8864.95288;94.15387873;22.62308375;22.30654959;41.63824813;2585.55839;50.84838631;12.8802566;10.91181489;2;0.1;100;30;90;90;1
63;77.24348307;9335.905726;96.62249079;22.83236989;20.42105149;42.11686902;2427.790275;49.27261182;14.45938677;-5.643722475;2;0.1;100;30;90;90;5
63;72.68496129;7976.56042;89.31159174;21.59165924;20.43583206;50.17402159;4098.532122;64.01977915;14.06847799;8.325942006;2;0.1;100;30;90;90;10
63;60.31713557;5788.610155;76.08291631;17.71623413;17.15697559;43.98635897;3119.684733;55.85413801;12.82299331;9.214047822;2;0.1;100;30;90;90;30
63;38.00079483;1668.671066;40.84937044;16.07577229;-11.28983009;62.3702166;5764.101065;75.92167717;16.59717794;1.941988017;2;0.1;100;30;90;90;1
63;51.88660797;3552.337875;59.60149222;22.30620417;-19.78624974;51.95927603;3519.892622;59.32868296;14.97986096;-2.070963513;2;0.1;100;30;90;90;5
63;148.6681178;30741.73101;175.3332;62.88126938;62.31285695;51.02890449;4172.899026;64.59798005;13.09171819;3.203046597;2;0.1;100;30;90;90;10
63;54.59252009;3740.946429;61.1632768;22.83873337;-12.97214383;58.58551127;5810.327323;76.2255031;15.14241672;8.495965015;2;0.1;100;30;90;90;30
64;56.27248606;7517.488359;86.70345067;10.45245491;9.448028626;31.53957715;1716.335755;41.42868275;10.72089503;-2.490593857;5;0.3;70;300;9;60;1
64;57.62950948;6854.913793;82.79440677;10.85015755;10.83484222;30.32232874;1625.866967;40.32204071;10.32222912;-2.307152809;5;0.3;70;300;9;60;5
64;46.98203837;5023.184864;70.87443026;8.7522316;8.670087493;33.26555165;1837.501259;42.86608518;11.69004851;-6.616947924;5;0.3;70;300;9;60;10
64;36.32457072;3718.259033;60.97752892;6.613449848;5.647356783;30.87948972;1689.744769;41.10650519;10.52273679;-5.183644979;5;0.3;70;300;9;60;30
64;45.98310598;2356.263088;48.54135441;10.96816051;10.40703609;36.70016381;2113.128622;45.96877877;12.22958461;-0.220037338;5;0.3;70;300;9;60;1
64;35.59554647;1446.698254;38.03548678;8.539775657;6.754523668;36.06957811;2072.924901;45.52938503;12.10613079;-1.271206077;5;0.3;70;300;9;60;5
64;15.04972158;396.5502269;19.91356891;3.655200406;0.871000708;36.94469662;2300.768323;47.96632488;12.65797775;-3.606124901;5;0.3;70;300;9;60;10
64;24.12950216;745.134622;27.2971541;5.788895164;3.647259822;37.39191507;2266.319982;47.6058818;12.50610115;1.057228224;5;0.3;70;300;9;60;30
