Date;Price;Open;High;Low;Vol.;Change %;Price_5D_MA;Open_5D_MA;High_5D_MA;Low_5D_MA;Vol._5D_MA;Change %_5D_MA;Price_10D_MA;Open_10D_MA;High_10D_MA;Low_10D_MA;Vol._10D_MA;Change %_10D_MA;Price_50D_MA;Open_50D_MA;High_50D_MA;Low_50D_MA;Vol._50D_MA;Change %_50D_MA;Price_100D_MA;Open_100D_MA;High_100D_MA;Low_100D_MA;Vol._100D_MA;Change %_100D_MA;Price_200D_MA;Open_200D_MA;High_200D_MA;Low_200D_MA;Vol._200D_MA;Change %_200D_MA;RSI EWMA;RSI SMA;Position_10D_MA_50D_MA;Position_50D_MA_200D_MA;Previous_Position_10D_MA_50D_MA;Previous_Position_50D_MA_200D_MA;GoldenCross_10D_MA_50D_MA;DeathCross_10D_MA_50D_MA;GoldenCross_50D_MA_200D_MA;DeathCross_50D_MA_200D_MA;K;D;Momentum;Price_Orig;Price_D1;Price_Orig_D1;Price_D5;Price_Orig_D5;Price_D10;Price_Orig_D10;Price_D30;Price_Orig_D30
03/02/2016;0.375878578;0.379851278;0.380467955;0.385669125;0.048026196;0.800436823;0.297163205;0.303372409;0.302289968;0.304962273;0.094439541;0.738543912;0.231417881;0.239403096;0.224135992;0.247693145;0.188127619;0.684364776;0.307310177;0.307805291;0.298597345;0.321605933;0.568900815;0.437312409;0.284137051;0.281635968;0.283763796;0.283150748;0.98911917;0.408522817;0.184058017;0.183842551;0.187646187;0.178324785;0.956155954;0.380220764;0.395996606;0.264185277;0;1;1;1;0;1;0;0;0.232804233;0.259787758;0.514654626;369;0.397066314;389.8;0.37740654;370.5;0.400325965;393;0.416420495;408.8
02/02/2016;0.379851278;0.378323317;0.38128179;0.389778714;0.037984355;0.812166316;0.299204748;0.304696339;0.304952175;0.303536756;0.157117822;0.744454489;0.236136706;0.241213192;0.228775906;0.250429849;0.197316655;0.721919302;0.31054565;0.310100674;0.301514315;0.324279459;0.579870963;0.464968699;0.282614845;0.280000297;0.282233118;0.281506008;0.990120427;0.413511527;0.182942027;0.182703927;0.186568751;0.177210751;0.956540351;0.380519093;0.40964007;0.469865701;0;1;1;1;0;1;0;0;0.298122066;0.21665254;0.517110266;372.9;0.375878578;369;0.378934501;372;0.390139554;383;0.42844046;420.6
01/02/2016;0.378323317;0.372313334;0.385554425;0.382824025;0.090376569;0.822035269;0.300510386;0.310304985;0.309828959;0.304937695;0.1757806;0.71246784;0.237909756;0.242581454;0.231475493;0.251862678;0.207431931;0.727440022;0.312858598;0.312112839;0.303813389;0.326295961;0.586535919;0.472729612;0.280975403;0.27838317;0.280832219;0.279763016;0.998434124;0.413012656;0.181810216;0.181571424;0.185460429;0.17599882;0.959175222;0.380345068;0.40252077;0.439500157;0;1;0;1;0;0;0;0;0.239316239;0.232720147;0.502772497;371.4;0.379851278;372.9;0.380768055;373.8;0.385046348;378;0.430070286;422.2
31/01/2016;0.372313334;0.384027707;0.385452696;0.382086407;0.054029471;0.784339104;0.30611276;0.316515418;0.314069641;0.311426254;0.154930478;0.707669842;0.239250014;0.249066446;0.236002925;0.253008941;0.241702814;0.666575791;0.314902753;0.314421395;0.305845859;0.328218104;0.5899927;0.463167824;0.279352709;0.276782734;0.279152207;0.278106486;0.995545786;0.413432757;0.18068449;0.180590738;0.184454267;0.174907092;0.964095512;0.370649364;0.375111505;0.435870844;0;1;1;1;0;1;0;0;0.113247863;0.246095848;0.501029785;365.5;0.378323317;371.4;0.393704798;386.5;0.388000407;380.9;0.442905165;434.8
30/01/2016;0.384027707;0.384638892;0.387080366;0.394099052;0.038202656;0.807474519;0.312237389;0.31988542;0.318569477;0.317546145;0.152973381;0.729434671;0.245602278;0.255123856;0.242428503;0.259084136;0.254706859;0.673595965;0.317232294;0.317055982;0.308860061;0.329678932;0.626146834;0.456821885;0.277746763;0.274905977;0.277409973;0.276387074;0.99578669;0.424644226;0.179709672;0.179487619;0.183450481;0.17392689;0.965330827;0.376964002;0.410419193;0.451788654;0;1;1;1;0;1;0;0;0.329411765;0.242508644;0.51037706;377;0.372313334;365.5;0.397066314;389.8;0.380971784;374;0.447387185;439.2
29/01/2016;0.384638892;0.385453805;0.391963377;0.379557429;0.226305257;0.807312733;0.315560831;0.325951424;0.323823211;0.320003932;0.168527828;0.710312218;0.251521751;0.255309142;0.249107168;0.259227419;0.321010977;0.747546347;0.319863811;0.318284357;0.311259504;0.331104813;0.650679715;0.500300146;0.275863545;0.272869732;0.275623293;0.274290374;1;0.432993751;0.178613154;0.178446941;0.182459762;0.17283764;0.96756208;0.372489061;0.412274039;0.544561432;0;1;1;1;0;1;0;0;0.270186335;0.273951273;0.50150507;377.6;0.384027707;377;0.375878578;369;0.37740654;370.5;0.442599572;434.5
28/01/2016;0.385453805;0.402057655;0.402339776;0.395785037;0.091067855;0.774955509;0.321543027;0.327684568;0.328935589;0.326123823;0.118666616;0.742716084;0.251717206;0.256534876;0.249543039;0.261691884;0.279733683;0.734664667;0.321101587;0.31961153;0.312379244;0.332887163;0.634575696;0.49725581;0.27382029;0.270877996;0.27361439;0.272401969;0.98705141;0.430446883;0.177578703;0.177622968;0.181589023;0.171899571;0.96963608;0.358218974;0.414601341;0.384744201;0;1;1;1;0;1;0;0;0.125220459;0.301798752;0.515763625;378.4;0.384638892;377.6;0.379851278;372.9;0.378934501;372;0.44229398;434.2
27/01/2016;0.402363247;0.398594275;0.403865717;0.410642782;0.031071494;0.816453648;0.323252226;0.32438678;0.328582199;0.327180672;0.114112846;0.780335164;0.252917853;0.25472478;0.248685358;0.261620243;0.274708143;0.772151036;0.322438916;0.320510583;0.313335884;0.333967058;0.645869424;0.513163537;0.271821697;0.26847456;0.271452597;0.270218807;0.984383901;0.447329727;0.176759662;0.176470876;0.180644632;0.170968937;0.976003103;0.389841885;0.464281837;0.410880326;0;1;1;1;0;1;0;0;0.417989418;0.376654348;0.532557034;395;0.385453805;378.4;0.378323317;371.4;0.380768055;373.8;0.443414485;435.3
26/01/2016;0.398594275;0.398288683;0.404883011;0.408324552;0.048462798;0.809658631;0.319928783;0.329128854;0.331927626;0.322658343;0.182764752;0.723037341;0.251116882;0.254311451;0.248094823;0.260058459;0.285795512;0.754702835;0.323295072;0.320688417;0.314101197;0.333921626;0.654503482;0.535202813;0.269402543;0.266132323;0.269164581;0.267717309;0.984996198;0.444887885;0.17544165;0.174975973;0.17940564;0.169468275;0.986436005;0.403664479;0.45078165;0.399626553;0;1;1;1;0;1;0;0;0.352733686;0.479501402;0.50586185;391.3;0.402363247;395;0.372313334;365.5;0.393704798;386.5;0.432820617;424.9
25/01/2016;0.398288683;0.410308648;0.409766022;0.404636459;0.08244497;0.785228927;0.324605341;0.335989216;0.338194412;0.326959471;0.202860176;0.70843474;0.250712012;0.249750577;0.247307444;0.255143856;0.341507479;0.810250818;0.323474267;0.320675244;0.314283115;0.333830761;0.663129649;0.541505874;0.267052243;0.263942154;0.266970787;0.265276727;0.985580892;0.437063488;0.173955691;0.173494536;0.177918374;0.16798744;0.988321301;0.401973946;0.449737293;0.369041733;0;1;1;1;0;1;0;0;0.347442681;0.494814591;0.498970215;391;0.398594275;391.3;0.384027707;377;0.397066314;389.8;0.434348579;426.4
